query,label,label_idx
"Căn cứ vào Luật hôn nhân và  gia đình và các luật liên q và Luật Hôn nhân và gia đình 2014, kết luận gì?",graph,1
Nội dung luật vẫn cho phép chủ sở hữu được quyền định  là gì?,vector,0
Ai chịu trách nhiệm theo Điều 24?,vector,0
"Theo Điều 76 và Điều 63, quy định nào áp dụng?",graph,1
Quy định tại Điều 66 nói gì?,vector,0
"Căn cứ vào Luật HNGĐ năm 2000? và Luật hôn nhân và gia đình năm 2014, kết luận gì?",graph,1
Người đó có bị xử phạt không?,clarify,2
Điều đó có đúng không?,clarify,2
Mối quan hệ giữa Điều 33 với luật về tố tụng dân sự là gì?,graph,1
Cho tôi biết về Điều 101,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Mối quan hệ giữa luật thì quan hệ hôn nhân được xác lập từ thờ với luật vẫn cho phép chủ sở hữu được quyền định  là gì?,graph,1
"Theo Luật Cư trú và Điều 10, quy định nào áp dụng?",graph,1
Luật Hôn nhân và gia đình liên quan đến luật hôn nhân gia đình năm 2014 ra sao?,graph,1
Quy định có áp dụng không?,clarify,2
Luật Hộ tịch năm 2014 quy định về vấn đề gì?,vector,0
So sánh Luật nuôi con nuôi và luật quy định về vấn đề này như thế nào?,graph,1
Mối quan hệ giữa Điều 116 với Điều 63 là gì?,graph,1
Bên đó có trách nhiệm gì?,clarify,2
Bộ luật Dân sự 2015 quy định về vấn đề gì?,vector,0
Ai chịu trách nhiệm theo Điều 10?,vector,0
"Theo Bộ luật Dân sự 2015 và luật bảo vệ, quy định nào áp dụng?",graph,1
Luật HNGĐ năm 2000 được quy định như thế nào?,vector,0
Điều 133 liên quan đến luật bảo vệ ra sao?,graph,1
Bộ luật Dân sự 2015 có hiệu lực khi nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
Người đó có bị xử phạt không?,clarify,2
So sánh Điều 104 và Điều 75,graph,1
luật không? được quy định như thế nào?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
So sánh Luật hôn nhân và gia đình và Điều 5,graph,1
Điều 88 liên quan đến luật quy định những trường hợp nào thì hạn ch ra sao?,graph,1
Điều 104 có hiệu lực khi nào?,vector,0
Quy định tại Điều 31 nói gì?,vector,0
Điều 12 liên quan đến Điều 84 ra sao?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Mối quan hệ giữa luật được quy định như thế nào? với luật về thừa kế là gì?,graph,1
Điều 73 có hiệu lực khi nào?,vector,0
Quy định có áp dụng không?,clarify,2
"Theo Điều 7 và Điều 51, quy định nào áp dụng?",graph,1
Điều đó có đúng không?,clarify,2
Luật Hôn nhân và Gia đình năm 2014 liên quan đến Điều 89 ra sao?,graph,1
"Theo Điều 82 và Luật Hôn nhân gia đình năm 2014, quy định nào áp dụng?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
luật về thừa kế được quy định như thế nào?,vector,0
"Căn cứ vào luật quy định vấn đề này như thế nào? và luật cấm kết hôn, kết luận gì?",graph,1
Nội dung Điều 73 là gì?,vector,0
Người đó có bị xử phạt không?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Quy định tại luật bảo vệ theo quy định tại Điều 133 Bộ luậ nói gì?,vector,0
Mối quan hệ giữa Điều 76 với Điều 71 là gì?,graph,1
Điều đó có đúng không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật hôn nhân và gia đình năm 2014 quy định n được quy định như thế nào?,vector,0
Luật hôn nhân và gia đình năm 2014 quy định n tham chiếu đến Luật HNGĐ năm 2000 như thế nào?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Mối quan hệ giữa Luật hôn nhân và gia đình năm 2014 với Điều 3 là gì?,graph,1
Điều 104 quy định về vấn đề gì?,vector,0
Ai chịu trách nhiệm theo luật thì sau khi ly hôn?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
luật nào để tôi có thể yêu cầu gia đình chồng quy định về vấn đề gì?,vector,0
Cho tôi biết về Điều 77,vector,0
Mối quan hệ giữa Điều 105 với luật quy định những trường hợp nào thì hạn ch là gì?,graph,1
Nội dung Luật Hôn nhân và gia đình là gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
"Theo luật quy định vấn đề này như thế nào? và Điều 52, quy định nào áp dụng?",graph,1
Quy định có áp dụng không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Quy định có áp dụng không?,clarify,2
Mối quan hệ giữa Điều 3 với Điều 25 là gì?,graph,1
Sự khác nhau giữa Luật Luật Hôn nhân và gia đình năm 2014 đã qu và luật giữa anh A và chị C?,graph,1
Điều đó có đúng không?,clarify,2
Quy định tại Điều 69 nói gì?,vector,0
Ai chịu trách nhiệm theo luật được quy định như thế nào??,vector,0
Người đó có bị xử phạt không?,clarify,2
Điều 82 được quy định như thế nào?,vector,0
"Theo Điều 52 và luật công nhận, quy định nào áp dụng?",graph,1
Điều 89 có hiệu lực khi nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
Điều 104 có hiệu lực khi nào?,vector,0
luật quy định vấn đề này như thế nào? liên quan đến Điều 32 ra sao?,graph,1
Ai chịu trách nhiệm theo Điều 5?,vector,0
Sự khác nhau giữa Điều 51 và luật công nhận?,graph,1
Luật hôn nhân gia đình quy định về vấn đề gì?,vector,0
Điều 105 được quy định như thế nào?,vector,0
Người đó có bị xử phạt không?,clarify,2
Ông ấy có quyền gì?,clarify,2
So sánh Điều 7 và Điều 95,graph,1
Cho tôi biết về Luật hôn nhân gia đình,vector,0
"Căn cứ vào luật quy định như thế nào? và Điều 38, kết luận gì?",graph,1
So sánh Điều 75 và Điều 17,graph,1
Điều 74 có hiệu lực khi nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Người đó có bị xử phạt không?,clarify,2
luật thì quan hệ hôn nhân được xác lập từ thờ liên quan đến Luật Hôn nhân và Gia đình năm 2014 ra sao?,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Ai chịu trách nhiệm theo Điều 69?,vector,0
Quy định tại Điều 32 nói gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Điều 3 có hiệu lực khi nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Điều 70 được quy định như thế nào?,vector,0
Mối quan hệ giữa luật không? với Điều 73 là gì?,graph,1
So sánh luật nếu một mình tôi yêu cầu ly hôn thì tòa  và Luật hôn nhân và gia đình năm 2014 quy định n,graph,1
Mối quan hệ giữa Điều 105 với Luật hôn nhân và gia đình năm 2014 là gì?,graph,1
Cho tôi biết về luật về thừa kế,vector,0
Bên đó có trách nhiệm gì?,clarify,2
Ai chịu trách nhiệm theo luật công nhận không??,vector,0
Họ phải làm gì?,clarify,2
"Căn cứ vào Điều 43 và luật bảo vệ theo quy định tại Điều 133 Bộ luậ, kết luận gì?",graph,1
Bên đó có trách nhiệm gì?,clarify,2
Họ phải làm gì?,clarify,2
So sánh Điều 43 và luật tố tụng dân sự,graph,1
luật thì không có giá trị pháp lý được quy định như thế nào?,vector,0
Điều 90 được quy định như thế nào?,vector,0
luật về tố tụng dân sự liên quan đến luật thì quan hệ hôn nhân được xác lập từ thờ ra sao?,graph,1
"Theo Điều 75 và Điều 29, quy định nào áp dụng?",graph,1
Ông ấy có quyền gì?,clarify,2
Mối quan hệ giữa Luật hôn nhân và gia đình với Điều 81 là gì?,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Điều 56 có hiệu lực khi nào?,vector,0
"Theo Luật HNGĐ và luật công nhận và làm bằng chứng quan hệ cha , quy định nào áp dụng?",graph,1
Ông ấy có quyền gì?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Cho tôi biết về Điều 88,vector,0
Nội dung Điều 25 là gì?,vector,0
"Căn cứ vào Điều 4 và luật giữa anh A và chị C, kết luận gì?",graph,1
Cho tôi biết về Điều 74,vector,0
"Theo Luật Luật Hôn nhân và gia đình năm 2014 đã qu và Luật Thi hành tạm giữ, quy định nào áp dụng?",graph,1
Quy định tại Luật Hôn nhân và Gia đình nói gì?,vector,0
Cho tôi biết về Luật Cư trú 2006,vector,0
So sánh Điều 95 và Điều 84,graph,1
Điều 74 tham chiếu đến luật bảo vệ như thế nào?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
luật về thừa kế được quy định như thế nào?,vector,0
Nội dung Điều 4 là gì?,vector,0
Người đó có bị xử phạt không?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Mối quan hệ giữa Điều 9 với Điều 133 là gì?,graph,1
Người đó có bị xử phạt không?,clarify,2
Sự khác nhau giữa Điều 77 và Điều 78?,graph,1
